1:	Action: S_2
 	Input Queue: [id, ,, char, id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

6:	Action: R_type_0
 	Stack: [0, type, 1, main, 5, (, 6, type, 8]
 	Input Queue: [id, ,, char, id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

7:	Action: S_11
 	Stack: [0, type, 1, main, 5, (, 6, type, 8, id, 11]
 	Input Queue: [,, char, id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

8:	Action: R_argument_0
 	Stack: [0, type, 1, main, 5, (, 6, argument, 7]
 	Input Queue: [,, char, id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

9:	Action: S_10
 	Stack: [0, type, 1, main, 5, (, 6, argument, 7, ,, 10]
 	Input Queue: [char, id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

10:	Action: S_4
 	Stack: [0, type, 1, main, 5, (, 6, argument, 7, ,, 10, char, 4]
 	Input Queue: [id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

11:	Action: R_type_1
 	Stack: [0, type, 1, main, 5, (, 6, argument, 7, ,, 10, type, 8]
 	Input Queue: [id, ), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

12:	Action: S_11
 	Stack: [0, type, 1, main, 5, (, 6, argument, 7, ,, 10, type, 8, id, 11]
 	Input Queue: [), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

13:	Action: R_argument_0
 	Stack: [0, type, 1, main, 5, (, 6, argument, 7, ,, 10, argument, 7]
 	Input Queue: [), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

14:	Action: R_arguments_1
 	Stack: [0, type, 1, main, 5, (, 6, argument, 7, ,, 10, arguments, 13]
 	Input Queue: [), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

15:	Action: R_arguments_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9]
 	Input Queue: [), {, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

16:	Action: S_12
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12]
 	Input Queue: [{, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

17:	Action: S_14
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14]
 	Input Queue: [int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

18:	Action: S_2
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, int, 2]
 	Input Queue: [id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

19:	Action: R_type_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15]
 	Input Queue: [id, =, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

20:	Action: S_39
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15, id, 39]
 	Input Queue: [=, integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

21:	Action: S_63
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15, id, 39, =, 63]
 	Input Queue: [integer_constant, ;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

22:	Action: S_27
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15, id, 39, =, 63, integer_constant, 27]
 	Input Queue: [;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

23:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15, id, 39, =, 63, factor, 33]
 	Input Queue: [;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

24:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15, id, 39, =, 63, factor, 33, term', 55]
 	Input Queue: [;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

25:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15, id, 39, =, 63, term, 32]
 	Input Queue: [;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

26:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15, id, 39, =, 63, term, 32, expr', 50]
 	Input Queue: [;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

27:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15, id, 39, =, 63, expr, 84]
 	Input Queue: [;, int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

28:	Action: S_97
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, type, 15, id, 39, =, 63, expr, 84, ;, 97]
 	Input Queue: [int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

29:	Action: R_assignmentStmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, assignmentStmt, 34]
 	Input Queue: [int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

30:	Action: R_stmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38]
 	Input Queue: [int, id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

31:	Action: S_2
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, int, 2]
 	Input Queue: [id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

32:	Action: R_type_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15]
 	Input Queue: [id, =, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

33:	Action: S_39
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15, id, 39]
 	Input Queue: [=, integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

34:	Action: S_63
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15, id, 39, =, 63]
 	Input Queue: [integer_constant, ;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

35:	Action: S_27
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15, id, 39, =, 63, integer_constant, 27]
 	Input Queue: [;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

36:	Action: R_factor_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15, id, 39, =, 63, factor, 33]
 	Input Queue: [;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

37:	Action: R_term'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15, id, 39, =, 63, factor, 33, term', 55]
 	Input Queue: [;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

38:	Action: R_term_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15, id, 39, =, 63, term, 32]
 	Input Queue: [;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

39:	Action: R_expr'_1
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15, id, 39, =, 63, term, 32, expr', 50]
 	Input Queue: [;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

40:	Action: R_expr_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15, id, 39, =, 63, expr, 84]
 	Input Queue: [;, int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

41:	Action: S_97
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, type, 15, id, 39, =, 63, expr, 84, ;, 97]
 	Input Queue: [int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

42:	Action: R_assignmentStmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, assignmentStmt, 34]
 	Input Queue: [int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

43:	Action: R_stmt_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38]
 	Input Queue: [int, id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

44:	Action: S_2
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, int, 2]
 	Input Queue: [id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

45:	Action: R_type_0
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15]
 	Input Queue: [id, =, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

46:	Action: S_39
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15, id, 39]
 	Input Queue: [=, integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

47:	Action: S_63
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15, id, 39, =, 63]
 	Input Queue: [integer_constant, ;, char, id, =, char_constant, ;, char, id, [, integer_constant, ], =, string_constant, ;, if, (, id, >, integer_constant, ), {, id, =, integer_constant, ;, }, else, {, id, =, integer_constant, ^, integer_constant, ;, }, for, (, id, =, integer_constant, ;, id, <, integer_constant, ;, id, =, id, +, integer_constant, ), {, id, =, id, +, integer_constant, ;, }, id, =, integer_constant, ;, }, $]

48:	Action: S_27
 	Stack: [0, type, 1, main, 5, (, 6, arguments, 9, ), 12, {, 14, stmt, 38, stmt, 38, type, 15, id, 39, =, 63, integer_constant, 27]
